customer_message,suggested_intent,support_reply,gold_intent,annotation_note
". Tried updating X shipping addy as unable in checkout, told ""impossible"" & no supervisor available-they're ""at an event"" Help?",order_or_repair,"@387836  Thanks for reaching out. Was this from a call to our Online Store support? DM us, we'd like to know more to assist. https://t.co/GDrqU22YpT",order_or_repair,
I’m literally watching my phone battery go down 30% a second wtf is up,battery_or_charging,"@551365 That's unexpected for sure, but we can help. Which iPhone do you have &amp; what version of iOS is installed currently? https://t.co/GDrqU22YpT",battery_or_charging,
"Yes, when I’m on my apps (Facebook, WhatsApp etc)",app_or_media_service,@458062 Let's connect then over in Direct Message and we'll look into this further with you. https://t.co/GDrqU22YpT,app_or_media_service,
"Ok, I have no updates currently to download. Hey help! 😬",ios_or_software_update,@670607 We’re happy to help. Could you let us know more details about your situation via a Direct Message? We’ll move forward from there. https://t.co/GDrqU22YpT,ios_or_software_update,
"please give us control over our phones. I don't want WiFi/Bluetooth to turn on at 5am. Where is the toggle to turn this ""feature"" off? I'd also like the control center to turn off WiFi/Bluetooth rather than to just disconnect it.",connectivity_or_network,@506895 Thank you for the feedback. You can share your feedback on this topic here: https://t.co/eTPVYVFyd8,connectivity_or_network,
can we please have our battery life back because wow,battery_or_charging,@557029 We'd like to hear more about what's happening with your battery. What type of device are we working with? Please DM us. https://t.co/GDrqU22YpT,battery_or_charging,
my friend has been locked out of AppleID for a week now bc it accidentally put an old number on his info- help,app_or_media_service,@400689 We would be glad to help. Send us a DM with more information. https://t.co/GDrqU2kzhr,app_or_media_service,
aye fam why every time i try to quick reply to a message it closes while i’m typing..y’all need to fix this,general_or_other,@605491 Let's examine this for you. How often does this happen? Are you running the latest version of iOS? Let us know in DM. https://t.co/GDrqU22YpT,general_or_other,
Thanks. Just send a DM. 🙂,support_contact_or_dm,@271147 We received your DM and will continue there.,support_contact_or_dm,
This link doesn’t help me,general_or_other,@803134 Are you unable to access the link?,general_or_other,
I’m having troubles with my battery life too. Sounds like I’m not alone based on a Google search.,battery_or_charging,"@444441 Let's look into this together; we'll do all we can to help. To get started, connect with us in DM here: https://t.co/GDrqU22YpT",battery_or_charging,
how do u cancel subscriptions that come out every month x,purchase_or_billing,@476180 We can help out with this. Check this article for all the info: https://t.co/YKDbvueXrq,purchase_or_billing,
cara memperbaiki iphone 5 fleaker (layar berbayang),device_or_hardware,@666265 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,device_or_hardware,
Who’s facing problem with their iPhones 📱 I download the lates update 11.1.1 my phone is frozen for than 2hr even after the battery was dead,ios_or_software_update,"@670146 We want to help. Are you currently able to power on your device? If not, the info here can help: https://t.co/8MvHMFZ83h",ios_or_software_update,
I hope you are going to change the feature of turning off wifi and bluetooth for only one day if you turn it off from the control center. I know you can turn them off through settings but that is bothersome. i wish it worked the way it used to.,connectivity_or_network,@713694 We value feedback and suggestions on what we can change. Tell us more here: https://t.co/eTPVYVFyd8,connectivity_or_network,
these are the second beats X that broke on me in less than 6 months I want my money back,purchase_or_billing,"@597373 That's not the experience we want you to have. DM us your country, and we'll see how we can help. https://t.co/GDrqU22YpT",purchase_or_billing,
hey Apple I’m trying to purchase an App and it’s saying I need to answer Security Questions but it won’t let me reset them,purchase_or_billing,"@398723 For help with accessing your account, reach out to our Apple ID team here:  https://t.co/UJm15vmMM2",purchase_or_billing,
Wow this is some seriously messed up entry prediction/suggestion (2 old random contacts). Who’s failing so badly here? or ?,support_contact_or_dm,@430941 We'd like to help! Are these contacts in your Contacts app? Do they show up in any other mail accounts?,support_contact_or_dm,
"M. Je veux mettre à jour ma carte de crédit, mais je ne comprend pas cette langue #Safari #LostInTranslation",general_or_other,@453712 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_or_other,
I️ pay way to much money for my phone to keep freezing & im sick of seeing this “ A ? “,purchase_or_billing,@632442 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,purchase_or_billing,
Ios11 on iPhone 6S .... what the fuck ??? my Phone is dead ... RIP IPhone,ios_or_software_update,"@438378 We'd love to help with your iPhone. To start, please send us a DM. https://t.co/GDrqU22YpT",ios_or_software_update,
"Is there something wrong with my phone I've tried everything. My phone won't update to iOS11. I've tried everything, it says unable. I have an iPhone6",ios_or_software_update,@476584 We're happy to help. How are you trying to update via iTunes or the device settings? Let us know in DM to continue. https://t.co/GDrqU22YpT,ios_or_software_update,
"Hey , are destroying battery life with unwanted background activity again.",battery_or_charging,@302634 We've got your back. Let's pair up in DM to take a closer look at what you are seeing on your iPhone. https://t.co/GDrqU22YpT,battery_or_charging,
Sliding in the DMs,support_contact_or_dm,@363802 We've gotten your DM and will begin responding through that. Be on the lookout for our response.,support_contact_or_dm,
"You guys are already dealing with it, although I have to wait a week for an appointment.",app_or_media_service,"@571263 We're glad to hear you have an appointment for your iPhone's battery issue. If you're having more issues, DM us and we'll help https://t.co/GDrqU22YpT",app_or_media_service,
"My iPhone 7 just lost 9% battery in 4 minutes while reading an article. #ios11 is a disaster, ! /cc",ios_or_software_update,@279196 We’d be glad to help. Can you start by letting us know more about the changes you’ve seen via DM? https://t.co/GDrqU22YpT,ios_or_software_update,
every other day my account is being locked. Been going on for way too long. Sort this out,account_or_icloud,@666583 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,account_or_icloud,
Phone keeps saying “No sim installed” when my sim is installed it’s really pissing me off dropping my calls,support_contact_or_dm,@370841 Dropped calls are not cool. We've got an article to help with the SIM card alert. Follow these steps: https://t.co/UTP2qBi1Is,support_contact_or_dm,
Why the fuck is the brightness won’t stay still fix this bug Apple.,app_or_media_service,@165935 We'd be happy to look into this with you. Can you provide us which device and iOS version you're using? https://t.co/ZTw54HL4Rm,app_or_media_service,
why did I WAKE UP TO HALF OF MY CONTACTS MISSING. YOU GUYS SUCKKKKKKKK!,support_contact_or_dm,@196716 We'd like to look into this with you further. DM us to get started. https://t.co/GDrqU22YpT,support_contact_or_dm,
"Please I forgot my security question and answer,tried resetting it but this is what I got in return...can you help me out",general_or_other,"@406242 For support with your account, reach out to our Account Support here: https://t.co/UJm15vmMM2",general_or_other,
"I signed in, i went back to the App Store & it still said “ Apple ID disabled “",account_or_icloud,@266454 Thank you for letting us know that you're able to sign in. The next step to take is to contact our iTunes Store team for more help with this: https://t.co/SDIe7UiyJN,account_or_icloud,
My phone is on the charger and LOSING battery life. And yes it’s plugged in. Apparently that’s now a thing,battery_or_charging,@554423 We're happy to help. Are you charging the device using the charger that came with it? DM the answer below. https://t.co/GDrqU22YpT,battery_or_charging,
When I go for walks it disconnects every time n gets staticky,connectivity_or_network,"@456688 To confirm, is your iPhone with you while on your walk or do you leave it somewhere else?",connectivity_or_network,
SE. yall killin my battery,battery_or_charging,"@534186 Are you using the Control Center to turn off WiFi? If so, check this out: https://t.co/G7BHuQnDS6",battery_or_charging,
Hahaha omg.,general_or_other,@513539 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,general_or_other,
"Thanks, what about the battery issue? Is going to fix it? I need to charge my phone twice a day now.",battery_or_charging,@496685 We'd be happy to take a further look into this. Send us a DM &amp; we'll continue there. https://t.co/GDrqU22YpT,battery_or_charging,
... battery is going so quickly and a couple of apps are simply not functioning...,battery_or_charging,"@575999 We're here to help you with your iPhone. DM us more about what happens when attempting to use your apps, and we'll begin there: https://t.co/GDrqU22YpT",battery_or_charging,
everytime a new phone comes out my phone slows down. F* off i pay good money for my shit,purchase_or_billing,@462928 We'd be happy to help with this issue.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,purchase_or_billing,
"hi is there a fucking reason that every time you guys release a new iPhone, my perfectly FINE iPhone bugs out / crashes , and all of a sudden can't be used properly?... A BITCH LIVING ON A BUDGET HERE STOP FUCKING UP MY PHONE IM NOT BUYING UR NEW ONE 😤",device_or_hardware,"@503620 We know how important your iPhone is. DM us, and we'll look into this. https://t.co/GDrqU22YpT",device_or_hardware,
I have a short battery life on a 5s .. it’s my work phone too 😡,battery_or_charging,@405873 You're in the right place; we'll do all we can to help. Connect with us in DM to get started: https://t.co/GDrqU22YpT,battery_or_charging,
It would be nice to be able to add a picture of a person's business card as part of their contact entry in Contacts.,support_contact_or_dm,"@415479 To help our engineers gather information, please feel free to leave us feedback here: https://t.co/eTPVYVFyd8",support_contact_or_dm,
"really wants us to all get the new generation of phones so bad, like literally as soon as the 8 came out my phone starting fucking up 🙄",general_or_other,"@623448 If you're running into issues with your iPhone, we'd like to help you out. Please tell us the exact issue(s) your experiencing. Also, please let us know what version of the iOS software you currently have installed.",general_or_other,
Why does this happen now?? How do I️ delete it?? Anyone?!,app_or_media_service,@501106 We've got you covered. Try all steps here: https://t.co/xXaXeeSRt9 DM us the iOS version if this article does not help. https://t.co/GDrqU22YpT,app_or_media_service,
I'm having difficulty transferring single files (photo and video) from iPhone 6S+ to MacBook Pro and from iPhone 6S+ to another iPhone 6.,device_or_hardware,@219069 Thanks for reaching out to us. Send us a DM so we can help more. https://t.co/GDrqU22YpT,device_or_hardware,
"hi i heard you do free cord replacement, is this true? My jack broke off.",order_or_repair,@417855 We're here to help. Could you let us know in DM which country you're located in? https://t.co/GDrqU22YpT,order_or_repair,
i️ need u to fix this shit,general_or_other,@526655 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_or_other,
I’m so annoyed with and it’s update why is “l” being autocorrected to this I️?!,ios_or_software_update,@518085 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ios_or_software_update,
Hey you know what would be amazing? If my battery lasted more than 6.5 between charges.,battery_or_charging,@610276 We'd be happy to help. Send us a DM with a few details and we can start there. https://t.co/GDrqU22YpT,battery_or_charging,
If care more about their employees like they do customers... customer service would be better,order_or_repair,@805725 We'd like to look into this. Send us a DM to continue:,order_or_repair,
Will the Apple 4k TV support HDMI 2.1? You sell the cables but will the cables work with the 4k Apple TV.,app_or_media_service,"@134506 Thank you for reaching out to us. This article may help: https://t.co/3Y2HCovI6b For more questions about Apple TV, please contact our team here:  https://t.co/IBIY3vMgPj",app_or_media_service,
Hey tell your El Paso Cielo Vista mall location to pick their phone. Been trying for a week. Need to pick up a repair,order_or_repair,@440736 We'd love to research your repair. DM us with your repair information and we'll take a look. https://t.co/GDrqU22YpT,order_or_repair,
Thank you for that. Didn't realize it was public. I removed tweet. How would she connect with you?,connectivity_or_network,@774572 She has a few options to reach us. This link provides all her options: https://t.co/IBIY3vMgPj,connectivity_or_network,
hey I accidentally bought some tv shows on iTunes how can I refund it ?,purchase_or_billing,@303475 We want to get you to the right place. Reach out to our iTunes Store team through this link: https://t.co/SDIe7UiyJN,purchase_or_billing,
"Stuck in an internet feedback loop from hell!! Help , I just want to get my vibrating superdrive fixed!!!",connectivity_or_network,@331094 We can help. What issues exactly are you seeing with that drive? How long has this been happening?,connectivity_or_network,
is there a way to have a family Apple Music package without having my family members able to make purchases using my card?!,purchase_or_billing,@534620 We'll be happy to give you some info about this. Let's continue chatting via DM so we can provide the most complete details. https://t.co/GDrqU22YpT,purchase_or_billing,
"I signed up to the family option but cancelled right away as I can’t share my account with family abroad. I was told payment would be cancelled, but it wasn’t. Please sort.",account_or_icloud,@231156 Thanks for reaching out.  We want to help.  Reach out to us here for further assistance with Apple Music:   https://t.co/Ew3uSP1vAz,account_or_icloud,
Was on the plane today and none of my music woulkd play thought it was just me cc HANDLE THIS,app_or_media_service,@443262 We would like to help. What kind of device do you have and is it on iOS 11.0.3? You can check in Settings &gt; General &gt; About,app_or_media_service,
See 😒,general_or_other,@515513 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_or_other,
Thanks. I am using an iMac late 2011. Latest OS : 10.13.1,device_or_hardware,"@260167 Thank you for that information. Did you make any changes to the Mac prior to this happening? Also, have you tried any troubleshooting, like a restart?",device_or_hardware,
Both use 11.0.3 please check and revert back,general_or_other,@153996 We use AirDrop all the time. We'll be happy to see how we can help. Make sure contact settings are correct: https://t.co/1sfjYKb68x,general_or_other,
please explain this to me and while you're at it please give us an actual way to clear the iCloud my crops are dying,account_or_icloud,@609803 Meet us in DM so we can help. Provide us more details there so we can get to work on a resolution together. https://t.co/GDrqU22YpT,account_or_icloud,
‼️ STOP TURNING ON MY WI-FI ‼️,connectivity_or_network,"@128901 We're glad to help! Please let us know exactly what's going on, and if this addresses your issue: https://t.co/G7BHuQnDS6",connectivity_or_network,
My iPhone has been freaking out as well even after all the updates 😭 #StillBetterThanSamsung,ios_or_software_update,"@392227 We'd like to see if we can help with your iPhone. To get started, send us a DM with more information about what's going on. We'll meet you there. https://t.co/GDrqU22YpT",ios_or_software_update,
I’m drunk and accidentally made an in-app purchase trying to save my panda babies. Please can I have a refund . K. Thnx.,purchase_or_billing,"@368120 For assistance, please reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN",purchase_or_billing,
I did but you haven’t helped and you won’t do a call back as requested,support_contact_or_dm,"@157897 We'd be happy to help. If you'd like to continue, DM us. https://t.co/GDrqU22YpT",support_contact_or_dm,
why does FaceTime keep dropping out every time I try call? It connects and drops out straight away,connectivity_or_network,@370411 We'd like to help. DM us and we can take a closer look there. https://t.co/GDrqU22YpT,connectivity_or_network,
